nivå,objekt,kategori,vurderingstype,påstand,primær_evidens,sekundær_evidens,konsekvens_for_diskusjon
modell,benchmark lineær,tolkbarhet,styrke,Lineær regresjon har høyest tolkbarhet fordi koeffisientene og retningen på sentrale signaler kan leses direkte.,08_lineaer_regresjon/lineaer_regresjon.md: benchmark-modellen bruker LinearRegression og dokumenterer koeffisienter.,15_viktige_variabler/tab_viktige_variabler_oversikt.csv: lineær regresjon brukes som støttespor for fortegn.,"Dette styrker forklarbarheten i caset, men betyr ikke at lineær regresjon er best på prognosepresisjon."
modell,benchmark lineær,konkurransedyktig i enkelte segmenter,styrke,"Benchmark-modellen er fortsatt konkurransedyktig i enkelte segmenter, særlig på prosentfeil og i høyt salgsnivå.","16_tolke_modellresultater/tab_segmentvinnere_tolkning.csv: benchmark lineær vinner MAPE i Q1, Q4, Central og hoyt salg, og vinner både RMSE og MAPE i hoyt salg.",14_sammenligne_modellresultater/tab_modellvinner_telling.csv: benchmark lineær har 3 månedsseire på MAPE.,Diskusjonen bør derfor unngå å omtale benchmark som irrelevant selv om den ikke er samlet anbefalt.
modell,benchmark lineær,multikollinearitet og manglende regularisering,svakhet,Koeffisienttolkningen i lineær regresjon er sårbar fordi modellen er kjørt uten regularisering og med dummykoding som kan gi multikollinearitet.,08_lineaer_regresjon/lineaer_regresjon.md: modellen er kjørt uten skalering eller regularisering og koeffisientene må tolkes varsomt.,06_datasplitt/datasplitt.md: feature-settet er one-hot-encodet i 67 kolonner.,Dette svekker påliteligheten i sterke årsaksnære tolkninger av enkeltkoeffisienter.
modell,baseline RF,sterk lokal MAPE-ytelse og nyttig RF-sammenligningspunkt,styrke,Baseline RF har tydelig lokal styrke på prosentfeil og er samtidig et nyttig sammenligningspunkt for å se hva tuning faktisk tilfører RF-sporet.,14_sammenligne_modellresultater/tab_modellvinner_telling.csv: baseline RF vinner 6 av 12 måneder på MAPE.,16_tolke_modellresultater/tab_segmentvinnere_tolkning.csv + 11_parameterjustering_random_forest/random_forest_tuning.md: baseline RF vinner MAPE i flere segmenter og baseline-artefaktene er bevart som sammenligningspunkt.,Dette viser at prosentfeil reagerer annerledes enn absoluttfeil og at baseline-modellen gir et etterprøvbart RF-referansepunkt.
modell,baseline RF,svakest samlet og ingen RMSE-seire,svakhet,"Baseline RF er svakest samlet og har ingen seire på RMSE, verken per måned eller per segment.",14_sammenligne_modellresultater/tab_modellsammenligning_oversikt.csv: baseline RF er rang 3 på samlet RMSE og ikke anbefalt.,14_sammenligne_modellresultater/tab_modellvinner_telling.csv + 16_tolke_modellresultater/tab_segmentvinnere_tolkning.csv: 0 RMSE-seire i måneder og 0 RMSE-seire i segmenter.,Det gjør modellen mindre robust som hovedvalg når absolutt feil prioriteres i caset.
modell,tuned RF,best samlet 2025,styrke,Tuned RF er best samlet i 2025 og er derfor det sterkeste operative modellvalget i prosjektet.,14_sammenligne_modellresultater/tab_modellsammenligning_oversikt.csv: tuned RF er rang 1 på både RMSE og MAPE og merket som anbefalt.,16_tolke_modellresultater/modelltolkning.md: tuned RF brukes som hovedmodell i videre tolkning.,Dette styrker påliteligheten i hovedkonklusjonen så lenge fokus er prediksjon innenfor samme datasett og oppsett.
modell,tuned RF,sterkest RMSE-stabilitet,styrke,Tuned RF er klart sterkest på absolutt feil og følger totalnivået mest stabilt gjennom året og på tvers av segmenter.,14_sammenligne_modellresultater/tab_modellvinner_telling.csv: tuned RF vinner 11 av 12 måneder på RMSE.,16_tolke_modellresultater/tab_segmentvinnere_tolkning.csv: tuned RF vinner RMSE i 13 av 14 segmenter.,Dette gjør modellen robust når caset legger størst vekt på absolutte prognoseavvik.
modell,tuned RF,MAPE mer ujevn enn RMSE,svakhet,"Tuned RF er ikke like dominerende på prosentfeil som på absolutt feil, og MAPE varierer tydeligere mellom segmentene.",14_sammenligne_modellresultater/tab_modellvinner_telling.csv: tuned RF vinner bare 3 av 12 måneder på MAPE.,16_tolke_modellresultater/tab_segmentvinnere_tolkning.csv: MAPE-vinneren skifter mellom alle tre modeller på tvers av segmentene.,Diskusjonen må derfor skille tydelig mellom robusthet på absoluttfeil og robusthet på prosentfeil.
prosjekt,prosjekt,renset og sporbart datagrunnlag,styrke,"Datagrunnlaget er renset, dokumentert og sporbarheten er høy gjennom hele analyseflyten.","04_dataprosessering/tab_renselogg.csv: 9994 rader inn og ut, 0 manglende verdier og 0 dubletter.",06_datasplitt/datasplitt.md: tidsdelt train/test-oppsett med 2022-2024 som trening og 2025 som test.,Dette styrker prosjektets pålitelighet innenfor egen case og gjør resultatene etterprøvbare.
prosjekt,prosjekt,begrenset representativitet og ingen makrovariabler,svakhet,Generaliserbarheten er begrenset fordi prosjektet bygger på én simulert virksomhet og utelater eksterne makroøkonomiske faktorer.,012 fase 2 - plan/prosjektstyringsplan.md: prosjektet er avgrenset til én simulert virksomhet og ett datasett.,012 fase 2 - plan/prosjektstyringsplan.md: eksterne makroøkonomiske faktorer inkluderes ikke i modellen.,Resultatene bør derfor generaliseres varsomt utover dette caset.
prosjekt,prosjekt,modellomfang og valideringsvindu er smalt,svakhet,"Prosjektets modellomfang og valideringsvindu er relativt smalt fordi kun lineær regresjon og Random Forest vurderes, og tuning bruker bare 2024 som intern validering.",012 fase 2 - plan/prosjektstyringsplan.md: modellene er avgrenset til lineær regresjon og Random Forest.,11_parameterjustering_random_forest/random_forest_tuning.md: tuning bruker 2024 som valideringsår og 36 kandidater.,Dette reduserer hvor bredt man kan hevde at valgt modell er best blant alternative modellfamilier og tidsoppsett.
prosjekt,prosjekt,ingen kausal analyse,svakhet,Prosjektet er utviklet for prediksjon og gjør ingen kausal analyse av hva som faktisk driver salget.,012 fase 2 - plan/prosjektstyringsplan.md: analysen fokuserer på prediksjon og ikke på kausal sammenheng.,16_tolke_modellresultater/modelltolkning.md + 15_viktige_variabler/variabelanalyse.md: senere WBS-steg avgrenser seg eksplisitt mot kausal analyse.,Det begrenser hvor sterke beslutningspåstander som kan knyttes direkte til enkeltvariabler.
